fixture_id,league,league_ru,season,date,home_team,away_team,home_goals,away_goals,result,b365_home,b365_draw,b365_away,bw_home,bw_draw,bw_away,iw_home,iw_draw,iw_away,ps_home,ps_draw,ps_away,wh_home,wh_draw,wh_away,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red
fd__21/10/2024_Nott'm Forest_Crystal Palace,E0,Английская Премьер-лига,2024,21/10/2024,Nott'm Forest,Crystal Palace,1,0,H,2.3,3.5,3.0,2.37,3.25,3.1,0.0,0.0,0.0,2.41,3.28,3.19,2.38,3.25,3.2,20,20,6,7,9,12,6,6,2,3,0,0
fd__25/10/2024_Leicester_Nott'm Forest,E0,Английская Премьер-лига,2024,25/10/2024,Leicester,Nott'm Forest,1,3,A,3.0,3.3,2.4,3.0,3.25,2.4,0.0,0.0,0.0,3.14,3.35,2.43,3.1,3.3,2.38,11,20,1,5,16,9,6,7,5,2,0,0
fd__26/10/2024_Aston Villa_Bournemouth,E0,Английская Премьер-лига,2024,26/10/2024,Aston Villa,Bournemouth,1,1,D,1.85,3.9,3.8,1.87,3.9,3.9,0.0,0.0,0.0,1.86,4.0,4.03,1.85,3.9,4.0,18,11,8,3,12,14,9,7,7,6,0,0
fd__26/10/2024_Brentford_Ipswich,E0,Английская Премьер-лига,2024,26/10/2024,Brentford,Ipswich,4,3,H,1.65,4.33,4.75,1.68,4.2,4.75,0.0,0.0,0.0,1.65,4.35,4.94,1.7,4.2,4.6,20,11,9,5,7,10,5,5,0,1,0,1
fd__26/10/2024_Brighton_Wolves,E0,Английская Премьер-лига,2024,26/10/2024,Brighton,Wolves,2,2,D,1.62,4.5,4.5,1.62,4.33,5.0,0.0,0.0,0.0,1.66,4.34,4.9,1.65,4.2,5.0,19,14,6,7,12,10,9,6,3,3,0,0
fd__26/10/2024_Man City_Southampton,E0,Английская Премьер-лига,2024,26/10/2024,Man City,Southampton,1,0,H,1.11,10.0,17.0,1.12,11.0,19.0,0.0,0.0,0.0,1.1,11.9,20.73,1.12,9.5,21.0,22,5,8,2,9,9,12,1,1,3,0,0
fd__26/10/2024_Everton_Fulham,E0,Английская Премьер-лига,2024,26/10/2024,Everton,Fulham,1,1,D,2.75,3.25,2.63,2.75,3.3,2.55,0.0,0.0,0.0,2.8,3.38,2.63,2.75,3.3,2.62,10,14,5,3,8,8,4,2,1,0,0,0
fd__27/10/2024_Chelsea_Newcastle,E0,Английская Премьер-лига,2024,27/10/2024,Chelsea,Newcastle,2,1,H,1.73,4.33,4.2,1.82,4.0,4.0,0.0,0.0,0.0,1.75,4.35,4.28,1.8,4.2,4.0,17,11,7,3,13,16,7,4,6,3,0,0
fd__27/10/2024_Crystal Palace_Tottenham,E0,Английская Премьер-лига,2024,27/10/2024,Crystal Palace,Tottenham,1,0,H,3.9,4.0,1.83,4.0,3.9,1.83,0.0,0.0,0.0,4.05,3.98,1.86,4.0,4.0,1.83,14,11,6,3,16,12,8,8,4,4,0,0
fd__27/10/2024_West Ham_Man United,E0,Английская Премьер-лига,2024,27/10/2024,West Ham,Man United,2,1,H,2.88,3.75,2.3,2.87,3.75,2.3,0.0,0.0,0.0,2.94,3.73,2.35,2.88,3.75,2.3,12,18,3,5,6,7,6,5,5,1,0,0
fd__27/10/2024_Arsenal_Liverpool,E0,Английская Премьер-лига,2024,27/10/2024,Arsenal,Liverpool,2,2,D,2.5,3.25,2.9,2.45,3.4,2.9,0.0,0.0,0.0,2.54,3.4,2.9,2.45,3.4,2.9,9,9,3,4,14,14,1,3,2,2,0,0
fd__02/11/2024_Newcastle_Arsenal,E0,Английская Премьер-лига,2024,02/11/2024,Newcastle,Arsenal,1,0,H,3.75,3.75,1.95,3.8,3.7,1.95,0.0,0.0,0.0,3.85,3.69,1.99,3.7,3.6,2.0,9,10,4,1,16,18,4,6,4,4,0,0
